"151673_Layer1" "151673_Layer2" "151673_Layer3" "151673_Layer4" "151673_Layer5" "151673_Layer6" "151673_WM"
"ENSG00000104419" 7.22868851079337 7.09432748024821 7.21187802604172 6.91598638384038 7.28767645681689 8.3215314202568 9.81534618634848
"ENSG00000184007" 8.0089204652496 8.02294576304545 7.96589085959842 8.17962173613872 8.13930300973323 8.53329920423026 9.90226621423692
"ENSG00000240583" 5.09204263262305 5.17213828629444 4.45126385726333 3.39296018271481 4.11617307222694 6.31959474737322 8.60394245869121
"ENSG00000160781" 8.12039531540155 7.81409474693075 7.42716198046278 7.75358947582785 7.82826112021366 8.99984522678446 10.7169047869792
"ENSG00000136938" 6.96757659044023 6.15199155314708 6.30216305535486 6.33698500011649 6.34786803654743 6.63790573597589 8.28954277203912
"ENSG00000166086" 5.88115510947839 6.02267792344528 5.94868233836904 5.90518264319003 6.33669218379439 7.15434133481665 9.14279934293782
"ENSG00000019144" 5.40548628379087 6.02267792344528 5.41790649410507 5.70943586364414 5.86284648057383 6.83494290135892 8.8947806906583
"ENSG00000109099" 7.18832132397594 6.7507398843703 6.70405098297909 6.86983544634079 7.16667100554622 8.26234234232329 10.1745913890345
"ENSG00000129422" 6.76289804400529 5.95339769601834 5.45516102412659 6.03632348527496 5.74943364430418 6.61285102427301 8.60394245869121
"ENSG00000126822" 5.662836545987 5.28922788911356 5.37966438669075 5.65604813895256 5.47145887904691 6.02893993565028 8.19893413219497
"ENSG00000172005" 6.15693695659177 6.21254651416802 6.32246564070583 6.52739754462609 6.91193222110535 8.27437601970695 10.2819480855742
"ENSG00000005893" 7.1467920534908 6.70931367683586 6.96305408688738 7.08710682198917 7.38853045866775 8.41145589050086 10.193781549723
"ENSG00000130175" 7.67091915800885 7.42377924222029 7.37303656607713 7.3947400750659 7.48785288979071 7.73302025500129 8.96862971665092
"ENSG00000065600" 4.90542746730253 4.02160606751722 4.15179358277027 4.68437922095782 4.26508248079328 5.61495308277625 7.18034590914107
"ENSG00000143418" 6.76289804400529 5.98845363641905 5.84957111710942 6.15653061263053 6.06598819161923 7.0922484866763 9.01915648613692
"ENSG00000117691" 8.75290024080351 8.7711747360312 8.7052786643847 8.76922395382627 8.88768403991693 9.25999116435628 10.392126943888
"ENSG00000139737" 6.64852742884619 6.62271226604619 6.67802599949865 6.52739754462609 6.81056181970967 7.89246479183298 9.65630262628767
"ENSG00000129538" 8.05454911957497 7.24688384103757 7.59511261614439 7.93262688393444 8.0633699797968 9.26603036341021 11.2207730208281
"ENSG00000165566" 6.81685373221265 7.18778270159343 7.17885310430419 6.91598638384038 7.09552129426176 7.9486145320817 9.46543213257802
"ENSG00000070214" 7.05996536295845 7.26128842477093 7.12207395783613 7.08710682198917 7.10213641098816 8.25020744584696 10.0177655177806
"ENSG00000176485" 7.34342562803813 6.92371059611993 6.89690074705229 6.79771699310667 6.76125968262287 7.82861041158149 9.95858464540542
"ENSG00000060237" 7.30618467948384 7.37162298228589 7.2191153537437 7.25809360289761 7.4153380522427 7.83945100958257 8.98227748626555
"ENSG00000187514" 10.6046281532084 10.2548372065616 10.063582719281 10.0521905982943 10.1426975296558 10.5981676722477 11.685003613242
"ENSG00000163517" 7.41514200818714 6.99439648579327 6.97164970430139 6.96070662964071 7.12829766741123 7.28696947920044 8.55455179978562
"ENSG00000102934" 6.64852742884619 6.18258672329869 6.45710566685827 6.93851977796778 6.71021291606499 7.95859287301895 10.1123403289028
"ENSG00000115468" 7.01451041113545 6.53057852811186 6.38171342868837 6.82215924166947 6.64828175687293 7.93351641235396 9.80001534765189
"ENSG00000068903" 8.18336693954707 8.20535071837144 8.15700717678869 8.31495151765374 8.30615482571792 8.92548430888142 10.3119814269296
"ENSG00000173786" 9.32748416660258 8.74578847418375 9.08090837921947 9.09926762459657 9.56437376881269 10.7502372699576 12.8835516707667
"ENSG00000165476" 6.31527178003647 5.23187064064617 5.09497962433353 4.78728103100773 5.10063787762981 6.42411167251697 7.93688131986469
"ENSG00000124920" 5.88115510947839 5.34439171084473 5.37966438669075 6.23144194772865 6.34786803654743 7.46552176361087 9.53421945625926
"ENSG00000109846" 9.8644421689261 9.01167473346491 9.199995856462 9.55068659751761 9.69044439465787 10.7408722050758 12.9804509897149
"ENSG00000071054" 7.51644518804618 6.95948641096436 6.94133828094778 6.69558373952782 6.88149304643731 7.67368236850644 9.06155912826315
"ENSG00000124126" 7.10403180334214 6.60022455093858 6.67276418858079 6.91598638384038 6.80246091257779 7.72134631770081 9.39064369079056
"ENSG00000064787" 6.96757659044023 6.32652648381705 6.49933110079365 7.18458897660044 7.17296849079054 8.48578944634609 10.306567118197
"ENSG00000005513" 6.23827542177844 6.32652648381705 5.96599323871806 5.99392071998122 6.54524921342535 7.27902800977878 9.08388540130716
"ENSG00000168314" 7.61109938610716 6.86832635511805 6.95006386696607 7.62055993889437 7.78780049416243 9.46814457649643 11.6928066515277
"ENSG00000169504" 6.81685373221265 5.44876824423049 5.49147770239613 5.48289743967477 5.73247872227886 6.94944769692482 8.46017504141314
"ENSG00000250722" 8.0089204652496 7.11032983310443 7.12207395783613 7.32803406250725 7.48279241293258 8.80345633176323 10.6617833766442
